,Label,RTN2,NDRG2,CCDC113,FAM63A,ACADS,GMDS,HLA-H,SEMA4A,ETS2,LIMD2,NME3,ZEB1,CDCP1,GIYD2,RTKN2,MANSC1,TAGLN,IFIT3,ARL4C,HTRA1,KIF13B,CPPED1,SKAP2,ASPM,KDM4B,TBXAS1,MT1X,MED13L,SNORA8,RGS1,CBX6,WWC2,TNFRSF12A,ZNF552,MAPRE2,SEMA5A,STAT5A,FLI1,COL15A1,C7orf55,ASF1B,FUT8,LASS4,SQLE,GPC4,AKAP12,AGL,ADAMTS4,EPHB3,MAP3K1,PRNP,PROM2,SLCO3A1,SNHG1,PRKCDBP,MXI1,CSF1R,TANC2,SLC19A2,RHOU,C4orf34,LRIG1,DOCK8,BOC,C11orf52,S100A16,NRARP,TTC23,TBC1D4,DEPDC6,ILDR1,SDC1,STC2,DTWD2,TCF4,ITPR2,DPYD,NME1,EGLN3,CD302,AHR,LAPTM4B,OCLN,HIST1H2BK,HDAC11,C18orf1,C6orf192,AMPD3,COL6A1,RAB3IL1,APBB1IP,PSIP1,EIF2AK2,CSRP2,EIF4EBP3,LYN,WDR76,SAMD9L,ASPH,RBL1,SLC43A3,HN1,TTC39A,MTL5,NES,APOD,RIN3,ALCAM,C1orf38,PLCD3,BSPRY,NTN4,IL1R1,EMP3,ZKSCAN1,FMNL2,OGFRL1,IRF5,IGSF3,DBP,CNN2,CAMK2D,SIGIRR,AKAP9,ICA1,FGD5,DSG2,E2F1,QSOX1,TOB1,CSF3R,SHROOM3,CCDC80,FRMD6,CXCL12,CCNA2,TIGD5,ALDH6A1,POSTN,FZD4,NCAPG2,SDC4,SNED1,PLEKHA4,KCNAB2,SH3KBP1,IGSF9,DNLZ,S1PR3,PTPRE,FLJ23867,PLSCR1,LMO4,IFITM2,LRRC25,TST,NCF4,NCOA7,IL4R,CCDC64B,SGPP1,RUNX3,SLC5A6,IFIH1,PREX1,PLAUR,CDK18,SLC43A2,GK,ICAM2,YPEL2,CBR1,MEX3A,ZNRF3,PTPRM,C1orf162,GAS6,C1QB,PVRL4,CTSK,MRVI1,LEF1,PLCD4,ZNF37B,MEGF9,GINS2,FAM13A,CPT1A,SNX10,TRIM45,ELP2,ALOX5,AMN1,CERCAM,SEMA3C,KRT8,TP53INP2,JAM3,ZNF680,PBX1
A0FL,Basal,6.142849626,10.2601648,1.441557552,5.961549644,3.850541349,6.642911786,7.24641963,6.645500155,4.672799508,4.298330242,5.470833885,3.10319717,4.511899641,4.810869794,3.201454975,7.03492962,7.823897123,6.108554318,5.039427849,6.0501703,5.847027943,5.038443504,2.765255399,4.413587783,4.353117121,1.453422853,2.470540462,4.972973618,3.620642149,2.985548488,5.046299945,1.441557552,6.086341026,4.701689917,3.243066213,4.914083517,5.839700585,2.721765739,6.195021201,5.282465495,5.084952102,5.103972042,6.235956663,7.544057037,5.274126556,2.807472346,5.744520974,4.332383557,9.412797609,4.699200371,7.454089486,7.234219775,2.85744614,3.566302248,1.844372467,7.412714815,3.885996055,3.818786609,4.138380348,6.83543199,5.179069219,6.495441864,2.807472346,6.277849387,5.325914724,5.213492542,3.84379518,2.834945584,6.966711347,7.964110689,3.970999394,7.100538967,4.261599231,1.499934124,5.474477841,5.31127778,1.317201248,6.437331774,5.408198269,6.89705748,6.021562912,8.54022978,3.43780912,8.293997787,6.394382189,4.849322988,6.626628731,2.222707541,8.01478999,3.544279162,0.713185975,4.786217355,4.538601659,1.429593856,4.12005361,4.261599231,2.229623859,2.588223787,7.574649184,1.577884599,6.818073157,6.441314465,1.914726297,2.561062168,8.779510482,2.336004286,5.142888801,8.165540232,2.208773114,2.666768911,7.923898474,5.530162947,5.460581697,3.630422348,5.513256898,5.990850908,5.786753493,3.256673391,6.413110845,5.278418814,5.155655523,4.622449084,5.255609514,5.590510125,5.456902428,6.509324056,7.570512985,4.574358663,11.06324123,5.972414241,0.982507094,7.025024503,4.254834506,6.008552376,3.802643482,4.845185657,4.799061292,4.664464907,6.788193219,4.721071441,3.964795237,10.36011721,3.449705806,3.136698596,1.567003718,3.013870233,4.187162332,3.800322576,4.603777577,2.821273864,10.63330089,6.345075667,9.071163425,5.623049657,1.588684031,5.401323059,0.966035687,4.399856416,3.313115606,5.277467954,1.330129906,1.914726297,5.920581287,6.617099636,3.386125152,5.949555729,6.3573638,5.848151896,2.476368575,3.271964173,4.814094434,6.492846297,5.858228622,5.186197605,3.431824111,1.556037759,5.133700074,4.781518267,7.286563723,4.921577763,2.367700047,2.614883469,0.982507094,4.08217065,2.129636469,4.215310149,4.437009157,6.241527585,1.835332507,2.96911107,4.557965573,1.342943734,1.620605593,7.265054194,3.065036812,10.55096844,6.390529928,3.656320389,3.033765215,6.932678318
A150,Basal,2.308591112,5.887076984,3.79044165,4.27477438,3.018862868,5.163193985,8.224293829,4.123687936,6.280788754,4.007362534,3.20242778,4.615733333,7.301007032,3.72775152,5.312705484,5.639043264,9.322816461,6.406965911,7.356241206,7.648547346,5.80322625,5.732679424,4.062914037,5.904500814,4.7396832,3.074253337,4.671874589,6.653289419,3.641946744,5.7845271,4.642856337,2.403917691,7.010241544,2.972965705,4.861188878,4.533800591,6.746034379,4.044541222,6.873027617,2.851399082,4.784657449,4.567571685,5.026646999,6.634678651,5.118220613,4.005178957,6.181287754,5.40128616,6.791915929,6.211659345,7.316595051,8.177951061,2.94945867,4.505870056,3.465331947,5.397671842,6.482615352,3.812326194,5.081745031,6.577680332,5.399118549,6.565979572,4.946783264,6.357959996,2.961260548,5.248338969,3.607289963,4.072013665,5.896327579,6.068514168,2.053217208,8.934080511,6.250650823,1.985486086,5.581583681,6.230880607,3.495404656,5.551672843,3.651666216,5.464982231,7.231645085,8.501201093,4.503181522,7.118285083,5.494926403,5.59805553,5.324175285,3.569237792,9.350984548,5.541528348,3.906896372,5.127851749,5.613718583,5.057211016,3.194816563,7.39862931,3.397458995,5.970219693,8.401058902,4.001373502,7.166654184,6.001036974,6.178341492,3.074253337,6.243419728,4.168494021,6.044214501,7.495314275,5.909585625,4.961547562,5.971192779,5.646372176,7.098605844,3.651666216,5.912121389,7.241558822,7.470582928,3.678128392,7.846727774,2.556885925,7.274055415,6.49281533,3.347374279,6.895498596,4.43851485,4.341011778,9.039544655,4.342516589,8.825077566,6.408044156,2.834387515,6.541451212,6.252252845,6.173276821,5.881394553,5.314431854,3.792645158,3.891517865,9.54657477,5.076111863,5.465534672,7.99211164,3.632112092,3.564087399,3.87813349,6.909018212,5.668737789,0.932398263,4.903591504,4.176953379,7.910130435,6.686847322,7.66020925,5.101431896,2.817174031,1.221220535,2.617855515,7.773314725,6.587232007,4.281065969,2.980717349,4.414392187,8.591415867,6.754819668,5.682467871,5.817363771,4.69208179,4.636736571,3.708788113,2.65180059,4.843230707,6.101753818,5.42207334,4.073826724,4.697971702,3.663754681,6.544723162,6.378642913,6.232098864,6.769437225,3.816663654,3.62223443,0.883617803,3.514219863,6.234937469,4.254135529,4.856762273,6.551244964,3.498107041,3.362286642,5.846291112,4.198717935,3.335333151,6.345631559,5.134816204,9.719882313,4.488304354,3.974450973,3.332306913,6.639583442
A0E0,Basal,0.674321728,4.561989025,2.271603542,6.097113272,4.360305547,4.4246369,4.850381104,6.481614219,6.421863089,3.904824223,5.416678658,2.944633284,4.290745821,5.399474164,3.767704584,6.793575287,6.298817468,2.473449732,5.342346158,5.300931065,5.655043771,4.366657866,3.805604163,7.130526711,5.47271978,1.868016073,1.99372689,5.707702029,6.014461654,3.945140932,3.857646513,4.043578381,4.170029446,3.805604163,3.916561832,3.418169043,3.774090899,2.983730068,5.606665551,4.059350822,3.887404651,2.826710229,7.563431478,7.759821397,2.078726724,2.857106626,4.913932031,3.125324446,6.129226063,4.474505441,6.839589862,7.119597939,3.485872821,5.251808751,3.159873408,5.745565468,5.23649016,5.716018232,6.363770283,4.99953772,3.678605282,6.401713114,3.997929628,4.198796961,5.332644326,9.695121138,2.904447401,0.853864043,5.387820208,3.605288882,3.355673033,9.254563959,4.832134725,2.271603542,4.573018548,4.493980198,1.578034311,6.5148114,4.381372528,4.618088342,6.583754788,7.772834394,2.875042318,7.518020364,5.396124454,3.016418329,4.375084809,2.316047891,8.509814293,1.971669804,2.967103477,6.485997391,4.040932722,4.240900465,3.603711752,3.011021313,2.691551789,2.763924892,6.7166605,3.188842123,3.821106872,6.750504448,5.215527545,3.397636383,5.088056592,2.978209134,4.941144823,6.89337756,4.250092497,4.924017639,4.59302286,4.829071267,4.934033229,3.1052046,5.367903607,4.801201625,4.113234579,4.9552637,7.064653606,3.383964445,5.826138844,4.722488632,6.053809599,6.371687597,5.308650052,3.561658011,7.113929271,5.747189415,6.261806279,6.856238818,6.69605384,4.299626286,5.439959624,3.860650199,3.678605282,5.466098744,4.194041904,4.462080366,8.203638691,3.995772849,4.813654617,6.743199226,2.015450054,2.168724771,3.21724059,5.342346158,6.839209289,2.564683672,4.09038764,2.950283959,5.430894341,3.598107892,4.299626286,4.85641247,0.727940585,4.845841222,1.649242856,4.323770036,4.665232612,4.700864112,1.305684566,2.129417955,9.683645776,2.832841159,6.326237378,4.908136876,1.137568667,4.59302286,2.409255056,2.399787631,3.231233292,6.609136628,8.115702833,3.342841843,2.955911666,2.808159546,5.214353944,5.01579632,8.489341336,4.895012513,3.263363879,2.496804151,0.779633694,3.848597749,4.827536969,2.886875788,3.087776461,4.48427552,4.73563676,3.685396931,6.618327378,2.72489927,2.983730068,6.04327321,4.470579001,10.06019069,4.984471347,3.100130279,3.598107892,8.469434734
A0U4,Basal,2.218694763,7.385043991,4.86018053,3.800083171,3.45477354,5.455150036,7.815700235,7.481898858,6.076811144,5.430467588,5.238044939,4.100027453,6.256089139,4.484375649,2.819530097,5.038219599,7.178904069,4.888636039,6.27204027,6.820491687,4.286603426,4.470794498,5.125987998,5.947955064,5.341378844,5.184539454,5.010165523,7.824587299,4.250757689,6.060098453,5.088148789,5.012591703,5.504823364,2.102028707,5.198813412,4.42052372,6.206796496,4.857483759,7.132998533,2.50263261,5.611104231,5.212919276,2.936582188,6.891853747,2.516373625,3.485372262,5.159944725,6.506701791,6.454717187,5.51512644,8.029142932,4.836640028,7.136710335,5.106246221,3.949377072,6.34476689,8.487327096,4.643532551,3.982756239,4.501058824,5.845079342,6.222328025,6.366416706,4.161006438,1.282035299,4.365909812,4.42660094,3.959472063,6.537915091,2.402587913,3.183367258,5.987546824,6.078356012,3.139641675,5.936927405,6.609380658,6.100192485,7.559212388,5.312133447,5.160790805,6.843159616,9.082394321,4.480174451,6.194027474,2.993367908,5.319990381,4.769371665,5.476983029,9.831521308,4.078497364,5.601466346,5.005301125,5.21365056,4.626737964,2.771595279,7.661527425,3.878434671,6.584048089,7.448296687,4.144877726,8.630035444,7.180343445,4.551984523,4.832984055,4.036198589,1.981710327,5.188836386,7.626581173,6.321147206,2.240937117,3.633537521,1.697998269,5.94964418,5.884025562,5.543366093,6.707732334,6.777866636,4.109049377,6.404796777,3.002672474,7.377848033,5.893270922,4.793085791,6.710972677,3.944302716,5.754250644,8.980787153,5.223457824,7.65584774,6.120998894,5.010165523,8.344657234,6.40017169,5.343307669,5.199523365,6.187195927,3.641919769,3.534933351,9.13358531,4.937112685,4.883343336,8.894192846,2.331818208,2.859611294,4.973275501,6.724108555,5.04613596,1.981710327,5.522346143,5.312789971,3.986052357,5.988779473,7.597651541,5.872941361,5.117748029,5.547833592,4.425387613,8.366239194,6.253698255,1.857653731,4.367174184,5.545601572,8.919006236,6.609914885,6.612316268,7.132998533,6.622941069,6.228178169,4.541942244,4.956807388,4.707823858,6.41656363,5.931381804,3.949377072,6.569566248,4.226565134,3.822380271,7.34629757,5.761961868,6.68103578,2.132091119,4.1150829,1.509314782,3.798209567,4.615077453,3.685144766,4.971090197,6.491997766,6.463610981,2.596186007,6.398935832,6.200426164,3.588713611,4.887755312,7.116175944,6.021892227,4.568568075,3.322839115,3.794454495,7.379885296
A0XU,Basal,3.32055743,7.341238334,4.620858663,4.955763356,2.629412285,5.699021314,8.452829562,6.612862672,5.481313637,4.172537134,3.589541569,3.316380401,5.608396088,3.981899322,3.179207552,4.896779432,6.988254134,5.298373992,7.166271282,5.78954377,4.30269145,5.009157877,6.746601923,6.498495646,4.707854587,3.015983461,6.704987288,6.946308392,5.32598409,3.56523643,4.430508829,5.819743966,5.47064653,4.147633571,5.944907044,2.983002447,4.825081407,3.164574598,5.820210879,3.816168828,5.971632666,5.032386105,4.220186124,6.931474903,4.988535111,3.756920113,6.208337375,5.768408118,7.28433887,4.972662369,7.288056537,7.251480706,3.956996307,6.038377682,4.624765992,5.01243041,5.423488566,5.991253198,3.840308295,4.528620867,5.124795632,5.17276336,5.139835979,6.942667916,4.025001854,8.801997857,3.392649004,4.912628972,6.188222085,3.274962689,2.447959343,7.214131021,5.744992409,3.079766277,6.486485193,7.901733892,3.791618019,6.294531226,6.53763404,4.468843645,6.843491362,8.134856498,3.08288267,5.827660868,3.519968208,5.071668745,6.552041484,3.346719953,8.173830743,3.05458978,3.264021433,6.687436508,5.714675778,6.741680941,2.982467939,5.403063484,4.764265538,4.974341483,8.058237236,5.652061654,6.32347289,7.506285259,4.862736247,2.625143209,5.566710186,4.87447332,5.318342863,5.063804273,4.271619428,3.9068828,3.943344441,4.698742513,5.350375712,5.319664191,6.383782804,6.396675384,6.860161016,3.304629421,6.132541839,3.002420683,6.742420181,5.160632429,3.149790841,6.852421007,5.298373992,3.236300477,8.099414038,5.14804184,8.031995516,6.633731203,2.32701473,6.247745724,5.659386515,5.719689579,5.091917878,5.949242232,2.398791506,4.131320481,8.117961097,4.96220836,6.541320234,8.323361514,2.969595603,5.903205925,3.547299358,6.113239755,6.286444125,1.561562052,3.840234547,4.220186124,6.483245786,6.400739387,7.766670788,5.716683448,2.708210696,3.611287298,2.532447141,7.779572579,4.887898279,3.838465603,3.578544222,5.307727089,6.003856692,5.275403275,4.719915277,5.526075497,4.385788023,4.791188479,3.758869887,5.022755244,4.080622011,6.223605512,7.054239944,4.752571452,3.496790057,3.146815823,6.337891969,6.671223222,6.671482012,5.618632004,2.212172862,2.217854031,3.939911693,3.301957443,4.971822079,6.110951895,4.013305451,5.620777621,5.177493873,3.883840182,5.91985703,3.506106319,2.393781143,5.044752667,6.217582208,10.51214674,5.634116565,5.908484994,3.898063558,7.054636763
A0AV,Basal,3.690359684,5.753301527,2.898492718,5.765022369,2.77806376,4.910251968,5.864488896,5.426372486,6.072496013,2.957122928,3.07297548,5.571691548,7.583977374,3.962224279,2.129737977,7.506923039,9.590771389,4.58898137,7.038323865,9.099428469,4.518520855,5.957172809,5.945815877,5.78736142,5.045458442,3.795330391,4.975840833,6.818530326,3.541842843,4.776023594,5.039266499,4.843909177,4.643516885,3.540596524,5.758336463,6.589813263,4.295384636,4.097698197,8.731309181,1.953056196,4.273278269,4.83130203,3.181911807,6.761581119,6.408738457,5.340572388,5.445748516,5.693225072,4.26975656,4.957716177,7.364781383,5.804905751,5.620895303,4.237788848,4.452748049,5.692348439,6.338755892,6.528755345,3.970419487,4.681119695,5.063198023,6.570649839,4.383832812,5.626413138,3.902654128,8.135247999,4.554663806,3.716464802,6.419902622,1.988339657,2.784659196,8.116091324,5.330465733,1.959483178,6.867115249,5.889180663,4.188779391,5.348206299,6.121838024,4.743597429,6.948298399,7.642107584,5.712809517,6.879684045,4.351990884,6.21175978,4.221960735,4.049221617,10.49670627,4.691685913,4.106937627,7.224324252,5.295102309,4.726357474,2.950216363,6.209923289,4.840747912,4.436087337,7.721411172,4.113501458,6.854827735,6.907711427,4.573829839,4.0990218,5.92581662,3.401628983,5.131406444,7.103739809,5.263579312,5.146846882,5.356707533,3.706079163,6.730960659,5.190339204,5.46486761,7.177637417,5.067937138,2.861537586,7.743340972,3.372810381,7.962321117,5.913080733,3.401628983,6.337635009,4.719489399,4.454817213,7.676754844,3.961715215,7.10571642,4.680942829,2.411227344,6.039442655,8.290589664,6.999161902,7.700713014,5.466980994,2.354727788,3.526933207,11.52869277,4.900796652,6.420432108,6.537568019,4.705654633,5.323688582,3.326779797,5.612115122,4.500605066,1.19302842,5.281159535,5.228331529,5.474077964,6.214815321,6.135769403,6.371983302,3.00399839,4.368548409,2.572369381,7.173560049,5.884583082,1.77967907,3.629377975,5.276505237,5.867349987,5.967354489,5.052990256,6.794835868,3.763965926,4.450675913,2.411227344,3.871564246,4.572877546,4.869053479,5.748670807,3.601632799,5.717125803,3.622031131,6.79156516,5.265348796,5.773336445,9.151226329,4.849424777,4.567150552,1.024948993,3.204222665,6.688948935,4.093720086,3.496964138,5.269469173,3.932316185,2.713856869,6.343230651,4.255583125,2.696474117,7.258484904,5.121020306,7.983544014,4.638064068,5.362780986,1.825176032,6.96635972
A0AR,Basal,2.910987989,9.515500204,2.883201261,4.940643976,4.266805284,7.105626795,4.506492079,4.750931105,5.185679221,4.88764935,5.346937977,1.977495508,4.474261609,5.57767531,5.130613014,7.064659397,8.358767433,2.758749492,6.416017407,6.08812201,5.127655764,2.015107536,5.227024473,5.738682218,5.055577598,2.250801428,7.606170536,5.962639147,5.669366132,2.083854462,4.86097371,3.387159204,4.674976254,3.349579422,5.11576577,1.402310637,5.813739072,2.089945508,4.694093247,4.061235111,5.820622431,4.609288296,5.580062529,5.77457328,3.316199131,2.38068204,5.169235138,2.948339645,8.687594544,5.559910524,6.534628793,5.458822083,3.263288175,6.637223951,4.063635394,7.203315361,4.622373245,5.72651733,3.848801482,3.661121587,3.703444967,5.488205466,2.92127074,2.027852948,5.492004829,6.633319763,5.909824205,4.998445837,5.631594958,4.668886343,3.318794777,8.138557958,5.583843668,1.881048754,3.510342025,4.786991176,1.203199644,6.619184491,5.44937864,4.106322504,5.45469817,8.407648698,3.241568221,6.499600467,5.876300829,4.31699624,4.726706193,1.982743417,7.696127802,3.421372257,2.928085729,6.483498152,4.810232618,5.572470541,1.784688028,3.7387592,3.510342025,2.370709976,5.975542107,2.504394782,7.187604739,8.891760391,3.124810464,2.814982205,8.95787546,2.630919313,4.899626178,7.43820925,2.385640969,3.615409143,6.224470814,5.0477767,4.159412864,3.297900576,4.79726364,5.961393924,7.753366737,2.872642551,7.11106463,4.767507207,6.75257348,5.441660116,4.967355367,6.104383744,5.250322961,2.751083499,8.778244958,5.696896033,7.918602431,4.426932117,2.071596381,4.715916919,4.957396548,5.10528082,6.896988831,5.073430539,4.7296346,4.51605636,7.807497423,4.366202465,5.925659815,4.732557345,1.524259422,6.302265953,2.696249741,6.211610848,6.815259345,4.566688196,3.346734019,1.929398163,7.592829916,5.283916477,7.372120454,3.85953597,2.155293083,6.797924266,2.046763266,4.964043393,3.966020105,4.897891543,0.945518791,1.976181455,7.845216229,3.70741173,5.10528082,3.854178958,5.034417485,6.708722053,2.476772748,3.18985242,3.843404387,6.71044755,6.990093002,3.863096949,3.094840034,2.448611518,5.25845713,4.802836055,6.686286128,5.276592716,1.550996531,1.450442344,1.594482703,4.406337168,5.512520439,4.880429265,4.16123601,4.930498397,1.402310637,4.749969751,6.734706724,6.858710554,2.355624241,6.668082765,6.449856345,9.519806961,4.945690135,3.082675333,3.50579374,6.554859402
A0RX,Basal,2.179577202,7.047445457,3.5538666,4.360754504,3.867138384,4.995109472,7.859081164,6.282377265,6.343794981,6.172540067,5.296178072,4.83911661,5.399534785,4.970010488,3.337696842,4.911407157,10.25904754,7.302136221,6.17832327,7.324792784,4.685287941,5.082196612,5.101945707,5.65282196,5.187616545,4.028562987,5.979155518,5.856633077,4.185087832,5.025416169,3.599038383,3.171949422,4.97168589,3.219731498,6.768848853,5.058135337,7.179939394,5.232205262,8.395206993,4.536488179,5.446633356,5.284282676,5.599636519,7.094537248,4.102971551,4.047018841,5.144465001,6.29958289,7.161236377,5.432664558,7.580559197,5.631918373,4.394776169,4.707617838,5.50268078,5.653491338,6.367240276,4.666843228,4.918106889,4.732929531,4.097079439,5.97662244,5.913618018,5.811167833,3.843870356,5.804554146,3.867138384,3.618365037,5.452029393,4.71380461,2.923820411,8.726765908,6.565177236,2.590805073,6.29958289,6.323331125,4.779048033,7.327483617,5.003533661,5.182403865,7.544931067,9.209133362,3.179403707,6.081676446,3.934772167,5.113666728,3.650905673,4.201455465,9.683182164,5.311525574,4.706083193,6.670769471,5.345886049,3.839171278,3.776256278,7.227911456,2.976122121,6.474154108,8.200796795,3.122529625,6.719016051,7.535158718,6.290575473,2.919375515,9.829174665,5.882555258,5.248244771,5.733533353,5.107818223,4.469653632,4.389964824,6.891363998,6.269773576,5.875688098,4.12630267,5.1718192,5.33090164,4.446669236,5.30045768,3.711166417,7.461970695,5.247358423,5.126257869,5.05205663,4.796120972,4.842642364,7.080913755,5.054085713,8.459097896,4.637373334,6.059122502,5.261476173,6.790917064,5.926965788,7.831547536,4.960760379,5.079210834,2.026867204,9.323524365,5.551262006,4.928098161,7.327101903,3.615619559,6.083167559,3.905852263,6.453165184,5.665485811,3.808249183,5.493671346,4.794908009,7.594741904,6.412622534,5.462761135,7.896313886,3.612869422,5.48323552,3.934772167,5.067205328,5.84378862,2.111062002,3.874046142,4.953321948,8.163053436,6.311081779,6.290145181,5.793058684,5.158678423,6.387497218,3.943554827,5.110550408,4.001481016,4.08397161,7.219800158,3.434331946,5.183914986,4.855497228,6.177858156,7.205494692,6.949473902,7.847721335,4.208759987,3.956630055,1.374336776,4.122440191,5.053071634,4.480255706,3.947664686,4.645470335,5.394739142,1.579841359,5.950031435,4.662859663,2.209013075,6.473775235,6.063157927,9.227474453,5.704116213,4.896783803,3.320941723,7.077930274
A0D2,Basal,1.965177041,6.725902607,1.24905965,3.873570943,2.698221037,5.584181284,6.632728292,5.881713291,5.41037493,4.893204131,1.755217336,3.869710309,5.620819765,4.153073403,5.076998674,5.292035217,9.855295918,5.696331232,6.380042048,7.015416335,4.650573761,3.417042415,5.284804876,5.880274779,4.915041384,3.128037273,6.144320103,5.952322721,3.612930452,6.259817157,4.789881151,4.906587402,5.625978763,3.974089414,7.673112957,3.078720777,6.579948139,3.995506575,7.413683471,5.303493064,6.424473644,4.798903197,2.631386832,6.910806989,3.62829899,3.913497876,5.804944409,5.420306886,7.822020395,5.194319591,8.017669394,5.246611891,3.251856025,5.771436919,4.474921397,3.794320432,6.100105155,3.289912049,4.004337477,2.945675924,4.133919179,5.828337339,4.543169759,3.794320432,3.27539349,6.818689042,3.343786709,4.384465569,6.158630461,4.044277283,1.188357738,7.252172495,5.968658706,2.741115652,5.419646903,6.319767272,5.317059615,7.105796353,3.124800739,3.629349598,6.164551522,8.138710525,3.742483147,6.664552527,2.142037558,5.55682914,3.329802907,3.782048267,9.239697115,3.786150968,3.48423407,6.78372429,3.98126353,5.575911548,2.360810665,6.597854203,5.22712932,4.57315591,7.340646849,4.12746657,8.598971177,7.35603464,4.715469488,2.81525287,6.934563774,5.567593974,5.254035701,5.389629289,5.158374459,4.631320513,5.114186766,4.583799893,6.026155527,4.641545389,5.042260909,4.993420822,6.059585001,3.406421462,6.004311752,2.144660952,7.680018862,5.517890175,2.938322183,6.387149119,4.580260724,4.111208309,8.42502553,6.110775502,7.157373505,4.874194871,3.871641918,6.814929356,6.87466251,5.315641348,6.180223126,6.328267445,2.546871957,2.527398591,9.215707297,4.768901292,7.046529877,8.017669394,3.456188282,3.861957382,3.354877121,6.390521224,4.860642573,2.388596563,4.91687608,3.486757478,6.010899634,5.511709844,8.030046269,6.637277213,2.971124736,3.79635614,2.736883243,7.08137494,5.424260638,1.111975165,3.863899392,4.040847513,8.047847848,5.119886333,5.096951706,7.328521883,4.455733703,6.788077589,3.662174663,3.468825545,3.701802305,5.516038787,6.921336146,4.601367612,4.203054765,3.514221487,5.338168925,6.730167449,4.976467268,6.879230379,3.321347559,3.191274161,1.771861352,3.729760029,5.098601976,5.303528877,3.897944105,4.270493063,4.119360562,3.115049987,7.303518375,4.213754341,2.462232914,6.341185941,4.210705526,9.041088265,5.402379587,4.245385445,3.304285954,6.01789381
A0CM,Basal,1.903714266,4.983993069,1.779161239,4.66414533,1.556919138,4.98163958,7.882859956,5.188627033,6.05393902,4.745999783,4.593468826,4.682431753,6.404689743,4.475863397,2.191259654,4.134663168,7.999112006,8.004338089,7.107242107,7.164385156,5.174272569,3.875471908,4.601154324,6.481649798,4.638979422,3.778484017,4.180527283,8.011709408,4.642484605,6.084964971,3.996965396,4.472984568,6.555502941,3.174529976,6.196723549,3.6803197,6.402052364,4.34151418,7.078349534,3.415811626,4.678746378,4.371608941,2.98075619,6.303273339,2.767824601,4.411371716,5.287204348,7.943517581,6.718772117,5.828938531,7.946235612,4.565456879,4.718860365,5.847150679,3.457967421,5.668480283,6.339103127,4.190750731,3.549789016,4.130420195,5.393705454,5.03126136,5.703888552,3.789289185,2.55005403,7.930612667,4.047343891,3.973471441,5.29670151,2.913211632,2.504881337,9.564494788,5.465355217,2.437793248,5.737751505,5.86704944,4.404360465,6.932460343,1.531404009,3.483673752,6.613651432,7.855809882,5.136691531,7.243123494,6.20026997,5.144076133,5.058458845,4.128294251,10.04205071,4.277724473,4.579530838,6.546375885,5.993319465,4.813198385,3.38437388,6.180399119,3.762123294,7.292376255,7.330877508,4.445925432,7.94136214,8.008678722,6.0805733,3.089662021,6.033635641,3.584320979,5.137748725,7.110476772,6.719125306,3.304489998,5.241710713,3.875471908,5.954246742,5.668480283,5.528786638,6.707423629,4.476331778,3.800014028,6.545181188,3.044467565,6.519048896,5.838723591,4.330459867,6.561424388,4.911667268,4.543287493,8.531538853,5.413919233,6.321066804,6.215951919,3.319476066,5.830247132,7.393871419,5.626920172,6.726171296,6.362028295,3.058738491,2.288827028,9.461441639,4.48227024,5.661881162,7.318485548,3.258575354,3.980560091,4.40787016,5.93613031,6.20026997,3.611972502,4.37954942,4.785134083,3.794661282,7.270854081,7.661467763,5.897953243,3.31574432,4.397314973,3.813308785,7.290000702,5.193719195,5.626166906,3.674502982,5.90355805,8.141569123,7.342297562,6.213868172,6.968552993,4.442506843,5.482100883,3.215162361,4.084422118,4.244739561,6.449961396,8.255828533,3.416753307,4.6479117,3.723210499,5.696015101,7.651139134,8.755631114,7.377630157,2.956994586,3.880533033,1.70121001,4.246700767,4.932530437,4.634492296,3.908354794,6.267980212,5.548000449,3.132719964,5.802515856,4.486326345,2.072442253,5.726551988,4.659736235,9.158662892,5.107849269,3.935066813,3.330614537,6.800820421
