,Label,14-3-3_epsilon,4E-BP1,4E-BP1_pS65,4E-BP1_pT37,4E-BP1_pT70,53BP1,A-Raf_pS299,ACC1,ACC_pS79,AMPK_alpha,AMPK_pT172,ANLN,AR,ARID1A,ASNS,ATM,Akt,Akt_pS473,Akt_pT308,Annexin_I,B-Raf,Bak,Bax,Bcl-2,Bcl-xL,Beclin,Bid,Bim,C-Raf,C-Raf_pS338,CD31,CD49b,CDK1,Caspase-7_cleavedD198,Caveolin-1,Chk1,Chk1_pS345,Chk2,Chk2_pT68,Claudin-7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,DJ-1,Dvl3,E-Cadherin,EGFR,EGFR_pY1068,EGFR_pY1173,ER-alpha,ER-alpha_pS118,ERK2,FOXO3a,Fibronectin,GAB2,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,HER2,HER2_pY1248,HER3,HER3_pY1289,HSP70,IGFBP2,INPP4B,IRS1,JNK2,JNK_pT183_pT185,K-Ras,Ku80,LBK1,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG-6,Mre11,N-Cadherin,NF-kB-p65_pS536,NF2,Notch1,P-Cadherin,PAI-1,PCNA,PDCD4,PDK1_pS241,PI3K-p110-alpha,PKC-alpha,PKC-alpha_pS657,PKC-delta_pS664,PR,PRAS40_pT246,PRDX1,PTEN,Paxillin,Pea-15,RBM3,Rad50,Rb_pS807_S811,S6,S6_pS235_S236,S6_pS240_S244,SCD1,STAT3_pY705,STAT5-alpha,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416,Src_pY527,Stathmin,Syk,Transglutaminase,Tuberin,VEGFR2,XBP1,XRCC1,YAP_pS127,YB-1,YB-1_pS102,alpha-Catenin,beta-Catenin,c-Kit,c-Met_pY1235,c-Myc,eEF2,eEF2K,eIF4E,mTOR,mTOR_pS2448,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363
A1AI,Basal,-9.04E-05,0.659075996,0.235399471,0.162435852,0.324813313,0.206306103,0.298683545,0.240653901,0.201378371,-0.169856361,0.175994357,-0.281526038,-1.195710334,-0.137908354,1.032808466,0.036097341,-0.865598148,0.25004289,0.571028485,0.363107145,0.709852607,-0.091633221,-0.188314716,-1.052939794,0.083364135,-0.270394318,-0.098891382,0.624755753,-0.114212322,0.04547502,0.099485694,-0.46402463,0.163072276,2.576205129,-1.914210959,0.163904589,0.068437717,1.067228347,0.460251769,-0.154889804,-1.546490812,0.715216222,-0.661846528,1.199005452,0.097947966,-0.02540476,0.135901731,0.076983407,-0.33691378,-0.151121695,-2.650156216,-0.413726476,-0.125960684,0.179451024,-0.405670695,-0.163047066,-1.500273824,0.235730959,0.288330953,-0.426271622,-0.187120771,-0.429463079,-0.060767427,-0.078245522,-0.540486935,-0.909587744,-0.354107127,-0.479068443,-0.182192942,-0.006274758,-0.090930992,0.007244976,0.946966095,-0.987586668,0.367684265,-0.129854088,0.059787619,-0.041083557,-0.114707369,1.264319604,0.175971983,-0.0940543,0.810954579,-0.663008272,-0.004739891,0.345169546,-0.159366813,0.040922103,-0.282362821,-0.454579107,-0.072132412,-0.944847723,0.172506759,0.091342593,-0.573381893,-0.428986738,-0.236752087,-0.352303521,-0.115614391,-0.246376805,0.444361801,0.537852922,0.150525296,-0.151542829,0.041541005,0.474949447,-0.005479982,0.359435694,-0.189871475,0.066227054,0.193520726,0.532248139,-0.117048666,0.061105442,1.396579759,0.550166945,-0.347502007,-0.050852283,-0.328498783,-0.086246113,0.055770914,0.467419946,-0.116553851,-0.146249594,0.582860678,1.341693228,0.063804786,-0.21987523,0.45750678,-0.181845835,0.33829639,0.096898463,0.13074935,0.070810281,-0.023331885,1.064401864,0.11896361,0.532977343,0.565028386,-0.146467393,9.0380315176386e-05,-0.075373046
A14X,Basal,-0.029152526,-0.413949456,0.094360902,-0.049945005,0.00268015,-0.714350188,-0.368752936,-1.254487904,-0.792606465,-0.252157118,-0.088890293,0.157719547,-0.68931424,0.122021764,0.426055029,0.010660721,-0.764515783,-0.37573552,-0.102428516,-0.376357849,-0.604326698,0.107588169,-0.046273853,0.022097552,0.169996673,-0.116370093,0.597242282,0.003555446,-0.126243684,0.061336007,0.202530607,-0.235734197,0.246552734,0.319851187,1.132883098,0.257671331,0.18580386,0.259641696,0.28287529,0.558585246,2.019395487,0.380071001,0.339270943,0.606190831,-0.028667198,-0.296990142,0.003443421,0.538096526,0.063909281,0.115340596,-1.962980541,-0.418376679,-0.038800776,0.365971036,-1.818906648,-0.177085036,-1.853071662,-0.774048853,-0.670978058,-0.323955002,0.264226644,-0.024548223,0.132931328,1.274920399,-0.90527786,-0.324284691,0.418958639,-0.207810748,-0.297490779,0.313948976,0.102560119,-0.214696165,0.228663582,-0.952147972,0.271006213,-0.269829577,-0.076155348,0.374114717,0.475181803,0.471623133,0.023875401,0.769056031,0.304838341,-0.679962811,-0.099020333,0.344344356,-0.281738771,-0.142133262,0.256852682,0.0100666,-0.213181761,0.544413388,0.129527602,-0.057961794,-0.487934832,-0.015717159,-0.304473121,-0.193457347,0.214373004,-0.638424835,0.206612509,0.662019328,0.293804345,-0.103436984,-0.034847879,-0.128623625,0.018581342,-0.013464498,-0.132035747,0.072309569,-0.008321026,-0.062887318,0.03395036,0.508078216,0.055616913,-0.489023688,-0.366867606,-1.064344489,0.143292776,0.04197322,-0.197152763,-0.00268015,0.007601938,-0.093946145,-0.041264589,1.216568761,0.167582545,0.518071428,0.078451027,-0.114164591,0.009464701,-0.568790524,-0.379063241,0.79953805,0.130529118,0.508599638,-0.119205803,-0.439326011,0.30947923,-0.640084883,0.252531324,-0.017960503
A12V,Basal,-0.072568213,0.141034307,0.083348686,0.026427365,0.251958468,-0.179536193,-0.068535162,-1.094973742,-0.717654842,-0.083602972,0.629099718,0.096414463,-1.149043587,-0.26468808,0.296446438,0.582551469,-0.355489548,-0.152667498,-0.342201013,0.255633339,-0.209063652,0.203697985,0.456722786,-0.024100222,0.131561853,0.115644618,0.056123697,0.262162253,0.205309172,0.02131955,0.262022453,-0.303606457,-0.094259334,3.718306827,-0.883013952,0.076538295,0.225961067,0.568670233,0.358608892,-0.519790782,-0.34720591,0.465917031,-0.110522772,0.401388233,-0.117211469,-0.124991092,-0.143763928,0.334367353,-0.211470735,0.025886875,-3.206067878,-0.373649853,0.32222906,0.056838571,1.49153356,0.470305226,-1.264171056,0.021679007,-0.32039222,-0.899707119,-0.54873047,-0.180673407,-0.150318097,0.840584785,0.712881288,-0.761022552,-0.224089318,-0.40995482,-0.395276945,0.113966472,0.500979309,0.123714497,1.472561294,-1.185618144,0.056225036,-0.045655968,-0.032313199,0.19032575,-0.055823204,-0.072179998,0.282319186,0.230245486,1.175430846,-0.119696588,-0.042971571,0.079129922,-0.227828093,-0.089523028,0.255840914,0.671685686,-0.016610051,-0.783513509,0.005982467,0.04069222,-0.144424443,-0.044244832,0.00817988,-0.080386962,-0.214640058,0.017943992,0.49220734,0.788682679,0.482640575,-0.051150659,-0.098328233,1.122550093,-0.089091446,-0.358895678,-0.263274167,0.100109462,0.657963899,-0.009013144,-0.007027321,-0.064466236,1.917873421,0.506573901,-0.261640616,-0.765417395,0.022270706,0.013162529,-0.584896953,-0.18480747,-0.386544188,-0.176590029,0.402685997,0.10507017,0.24059492,0.185532231,0.347605506,0.081964993,-0.106880613,0.399157275,-0.180108525,-0.046033977,0.108864824,0.594213711,0.146884804,-0.235636708,0.240997779,-0.21405334,-0.005982467,-0.238534248
A1AY,Basal,-0.054829765,0.007807898,0.236178212,0.657001691,-0.025687384,-0.075287155,0.1585015,-0.68529202,-0.180017897,0.09033276,-0.62908805,-0.045664679,-1.200086916,0.501090277,0.651692297,0.13128453,-0.321076219,1.479882002,1.355613332,-0.091468703,0.049756737,0.178964831,-0.145493772,-0.582280264,-0.189641702,-0.133167193,-0.124447411,-0.733676763,0.486270646,0.36840408,-0.154514993,-0.239640624,0.588700921,-0.352093773,0.439439867,0.239551724,-0.028264068,0.919107062,-0.13536242,-1.307036796,-0.116575599,1.57129276,-0.295042092,0.910325125,-0.434992401,0.414046445,-0.640666606,0.390295256,-0.000368855,0.000733362,-3.284905018,-0.544698209,0.100189893,0.245653769,0.298593017,0.379808054,-1.402218561,0.175396467,1.286892304,-0.277243464,-0.194189142,0.038759768,0.143853538,-0.047072301,-1.217159982,-0.737321985,-0.213733509,-0.321583924,0.667272556,0.116207319,-0.212223452,-0.144178165,-0.435216104,1.099077915,-0.179110608,0.20861911,0.220473132,-0.233961411,0.110059022,1.362594795,-0.009896177,0.011918468,-0.014122706,-0.467994904,0.000368855,0.265463042,-0.495764859,-0.041332461,0.085853508,0.440879585,0.052290199,-0.839439647,0.467276421,-0.249859736,-0.25642292,0.435783723,-0.176920001,-0.185287171,-0.108825438,0.937118743,0.22426459,1.408808675,0.652182233,-0.784235645,-0.034309885,0.083108628,-0.199251098,0.054830168,-0.033672665,0.220209427,0.51253414,0.020650712,0.997199385,0.048747674,-0.185211227,-0.225716421,0.105937836,-0.193611963,-0.255237372,-0.104140133,0.37475501,0.217039438,0.917998,-0.077574827,0.322616957,-0.408648094,-0.124276678,0.283243855,0.139791988,0.155360904,-0.134005124,-0.377768065,0.217481756,-0.593837377,-0.248108614,0.108760665,0.125150341,1.194938682,-0.121758917,-0.280534878,0.249537016,0.931037565
A0D0,Basal,0.382426873,0.618040742,0.018421791,-0.728920576,0.124252021,-0.427099595,0.13954639,0.318391573,-0.310555057,-0.276148692,-1.189348268,0.011103532,-1.225191287,-0.211955848,0.617713726,-0.477971184,-1.023301693,-0.045455641,0.718000672,1.647312225,0.143809313,0.16470075,0.672547595,-1.070338707,0.36126186,-0.270858729,0.00884333,0.683036403,-0.590820871,0.201952857,-0.031000526,0.186661306,0.461626191,2.902315103,-0.530609853,0.851134369,0.267884183,0.458872171,0.242761268,0.155312161,-0.402605568,1.695286889,-0.296862308,2.401770342,0.43086431,0.15213937,-0.308383304,0.287301525,-0.254724355,0.081724222,-3.88669628,-0.237234559,-1.188743222,0.260798149,0.187234327,-0.78207207,-1.61838391,-0.063095127,-0.906565929,-1.061667853,-0.461626293,-0.321109994,0.017763884,0.117420908,-1.341324487,-1.000225714,-0.252677145,-0.60757044,-0.329230823,-0.016058456,-0.546465941,-0.207717954,0.442136806,-1.815700079,-1.050433894,-0.53660977,0.381303903,0.021134536,0.148370109,-1.082441261,0.166888257,0.136259078,1.522252626,0.079562961,0.823339108,-0.011296282,-0.181583082,0.145802983,-0.23598962,-0.58149339,-0.192392665,-1.013821299,-0.29532464,0.901122923,0.061374447,-0.530103369,0.327789828,1.223263868,-0.408981547,0.018613155,0.769249925,0.483354819,0.036820464,0.617289469,0.140601747,-1.444389826,-0.418971544,-0.221107688,-0.13534108,0.247285876,0.821506595,-0.00884333,-0.466979869,0.118517717,0.612206776,0.736197504,-1.020663858,-0.610114951,-0.174833169,0.22726268,1.8932365,-0.341099159,0.527896813,-0.161993061,-0.068113906,1.514238931,0.258987201,-0.283227836,0.074690578,-0.345411372,0.084269235,-0.280188436,-0.490015224,-0.405279383,0.09564332,0.047100648,-0.223590721,0.152646699,0.088417443,-0.67055789,-0.239193348,-0.482341075
A0SK,Basal,0.218651975,2.348937988,0.479825383,1.280367885,0.825467626,0.005416753,-0.068234716,-0.850736831,-0.781911026,-0.102398628,0.062133275,0.211744227,-1.224371672,0.619539316,1.156043849,-0.040019961,-0.215370589,-0.57867138,-0.112916054,2.247869673,-0.155035354,0.155350567,-0.03847569,2.512346501,-0.005416753,-0.042024038,0.148741034,0.882155223,-0.007031494,0.052448164,0.011013554,-0.193027629,0.224335725,-0.396587354,-2.064268028,0.449588085,0.129690213,0.854373948,0.548337487,1.612114763,-0.8935642,1.223062935,-0.15737469,1.861455427,0.11527544,0.259995986,-1.01521269,0.120137698,-0.258003269,0.158187872,-3.720141856,-0.394891054,-0.191725571,0.157052489,0.218781936,1.739970401,-2.086401038,0.342988205,-0.46730696,-1.114423185,-0.502882989,-0.203023808,0.1026697,0.891425533,0.117447086,-0.720973258,-0.134644897,-0.518246041,-0.254012706,0.184386834,0.517226528,-0.179208902,-0.343819651,-0.659976096,0.778809555,-0.276520036,0.402562933,0.059607967,0.395067422,0.172297462,-0.350386137,0.627240415,-0.425563517,1.769953551,0.8291003,0.265316271,-0.906158006,0.103372872,0.030489024,-0.125065737,-0.089925904,-0.748829123,-0.031356666,-0.300863114,-0.143956735,0.178230293,-0.522253147,0.155520703,-0.182080283,-0.23307943,0.219257245,0.039396487,-0.91782572,-0.04757109,-0.360203891,-0.726154896,-0.20693052,0.822646737,0.842365498,0.281217465,0.505917828,0.266390093,0.407998252,0.626366768,0.28824196,-0.035558812,-0.311695881,-1.110406943,-0.142833429,0.487688975,-1.383000029,-0.245775482,-0.288657147,-0.29605698,-0.367562008,3.56745348,0.297099351,0.09742109,0.028999517,-0.735987674,0.145769202,-0.248322331,-0.538637098,1.388483858,0.567360907,0.277703655,-0.680524112,-0.651768475,1.332241393,-0.49448245,-0.171739079,-0.206527783
A128,Basal,0.332408051,0.506529608,0.036816054,-0.261150766,0.165743808,-0.971142261,0.193806563,-0.927552018,-1.27406211,0.065583756,-0.200216115,-0.098147988,-1.152069682,0.269992258,0.830670532,0.243934823,-1.499252082,0.015755406,0.090995402,0.577099661,-0.430871431,0.285345256,1.036571139,0.774846593,0.307359433,-0.261437012,0.098658097,0.368904275,-0.341917347,0.226859519,0.135009756,0.070271005,-0.191941504,4.121060154,-0.379802851,0.752442566,0.237127467,-0.157206412,0.001811296,-0.841654279,-0.085571091,-0.230087147,-0.09276187,0.652097501,0.734892902,-0.029409464,-1.398177927,0.27054806,-0.285404879,0.190475835,-2.333255019,-0.351438443,-1.647534353,0.404637349,0.23348845,-0.496515664,-1.571825356,-0.691881781,-0.401600063,-1.326452052,-0.465595567,-0.537938638,0.071533017,0.502359574,-1.216168927,-1.005615641,-0.015456328,-0.120605737,-0.176614584,0.195039733,-0.757352456,0.034507516,1.580322012,-0.20282626,-0.038275521,-0.080683202,0.429055731,-0.013514803,0.268762118,-0.602127234,0.481875968,0.247672116,0.788417035,0.258483175,0.302986626,-0.374406461,0.069804992,-0.075775851,0.002956277,-0.13641729,0.038288281,-0.577620943,-0.255317897,1.036265046,0.223268244,-1.068447703,0.674070517,-0.252521882,-0.304287758,-0.1460217,0.773238449,0.960930747,0.22768961,-1.363991723,0.174472558,-1.071240374,-0.001811296,-0.073110972,-0.01285805,0.349538642,0.710312978,0.819332834,0.583296543,0.275555196,1.266186036,0.647818074,-0.94582343,-1.086403978,-0.251800531,0.210326387,-0.20748719,-0.16446808,-0.383665312,-0.553530826,-1.190777195,0.135571184,0.108175018,-0.51353617,-0.182508936,-1.08339056,0.329338723,-0.867029527,0.101262151,1.077279038,0.045387389,0.384456433,0.514215488,0.796018735,-0.179052979,-0.164315354,0.220472698,-0.344980548
A04D,Basal,-0.205548154,-0.147643395,0.553245956,0.056705706,0.250129916,-0.103927214,0.006738975,0.111768841,0.357749529,0.20596061,0.292519419,0.15650267,-1.555112381,0.09410699,0.968812243,0.828887314,-0.673620379,0.300822343,1.446519798,-0.438847691,0.548849042,0.020472301,-0.304333587,-0.040153836,-0.199042994,-0.006738975,-0.282401468,-0.138039351,0.036997571,-0.330495814,-0.027465723,0.069791571,0.105680403,-0.405121218,-0.415169235,-0.461058252,-0.077638504,0.202836904,-0.208132209,-0.419161838,0.048433447,0.784797993,-0.836096618,1.045914217,-0.774898707,0.164405075,0.047381169,0.246919373,-0.173685179,-0.255224401,-3.627492391,-0.360735914,0.064385602,0.094784324,-0.629606077,1.094664805,-2.056450792,1.082367377,1.235341652,-0.128763678,-0.285716159,0.78500895,-0.182795846,-1.075635876,-1.269956242,-0.672153339,-0.416246593,-0.406609894,-0.196461742,-0.105000609,0.552049774,0.27900836,-0.076806384,-0.474674446,-0.940671048,0.239049252,-0.092315314,-0.256422076,-0.32259149,0.359015546,0.278450262,0.129352476,0.470121511,-0.333244703,0.478433635,1.226643113,-0.249262254,0.255695485,0.16139263,-0.19040551,-0.087281425,-0.857972649,0.056532355,0.312649932,-0.749767316,0.072862622,-0.156948741,0.751142406,0.079005315,0.714165858,0.309944823,0.148464065,0.368495083,0.179335531,-0.585487049,1.611986861,-0.116834405,0.071297521,-0.21098928,-0.109520156,0.193594214,-0.29542254,-0.158895944,-0.08074781,1.538001503,0.130223048,-0.068867314,-0.39418504,0.267091797,0.174288729,-0.062935736,0.439422841,0.099077563,-0.08104767,0.058844975,2.596771953,-0.052777953,-0.235453905,0.058238438,-0.460818687,-0.044220246,-0.318599544,-0.200685219,0.300192565,-0.061495747,0.295284843,-0.403831785,0.259012056,0.040877532,0.713623454,-0.277533901,0.153203462
A0A7,Her2,-0.159645264,-0.224246906,-0.04366129,0.246839124,0.100314104,-1.162448537,0.155491109,-0.152287212,-0.314222644,0.000737421,-0.572902289,-0.040516869,-0.523920594,-0.014750306,0.100447356,0.988245205,-0.159787042,1.218822787,0.579278668,0.410130357,-0.192297443,0.129205435,-0.035645616,-0.327298815,0.399144594,-0.067431177,-0.085368789,-0.372237645,-0.055861844,0.079220839,-0.0686439,-0.305520951,-0.021423841,0.385180747,-0.933291569,-0.148098274,-0.077479953,-0.453741787,0.145533595,-0.601162358,-1.482198196,0.097409866,-0.309459513,-0.070518944,0.248822999,-0.008922964,-0.701773544,0.110585045,1.638325463,-0.094664375,-2.923043224,-0.525426566,0.23661183,-0.093156567,-1.18919297,-0.056033803,-1.247314972,0.576497286,0.721160713,2.490397275,1.787179957,0.217678781,0.714535088,0.417406708,-1.675720877,-0.73171149,-0.054627993,-0.064035295,0.108699266,-0.047717758,-0.118077865,-0.109971748,1.030606439,1.091256069,0.66438971,0.413276957,-0.160203236,0.065202948,0.102383531,0.316058445,0.026328518,0.278153994,0.133528535,-0.459165198,-0.032615372,-0.120980226,0.299604004,-0.106958047,-0.000187624,0.348896389,0.100573671,-0.898863992,0.368722522,0.249680301,0.108685402,0.055663982,-0.058354926,0.068787651,0.064406388,-0.427225753,0.231799274,1.594310003,1.270382418,0.166047213,-0.095281316,0.703218462,-0.176265155,0.070915435,-0.108606114,-0.067895499,-0.062686873,0.37808858,0.415885148,0.019042042,0.959566475,0.040966253,0.171596644,-0.696934278,-0.12388286,0.02869321,-0.375434495,-0.205144247,0.086913112,-0.200174335,-0.433876758,-0.469371472,-0.038653585,-0.21380989,0.006909083,-0.094340419,-0.005465389,0.207614007,0.579994128,0.016341762,0.048816692,0.661022018,0.045286609,0.123453392,0.000187624,0.269810512,0.214944371,-0.119845434
A094,Her2,-0.324733049,0.215932754,0.281625499,0.973144791,0.233648289,-0.059434659,0.490799434,1.205350551,1.489136274,0.212187622,0.44371265,0.124207088,-0.411386146,-0.275699822,0.913141877,0.947309949,0.196462246,2.661375944,1.956928398,-0.053250546,-0.486631702,-0.262626186,-0.150246849,-0.295705323,0.159450378,-0.210758695,-0.053404266,-0.520639153,0.348678141,-0.072421085,-0.017060058,-0.151232289,0.092505527,1.466196213,-1.193588756,0.032289932,-0.135047377,0.679526691,0.500695814,0.872513516,-0.871745046,0.991007999,-0.529822402,0.430925503,-0.024886922,-0.297293882,0.421025586,-0.130287199,-0.42546677,-0.164147181,-1.644804934,-0.60419047,0.807377236,-0.148391148,0.114116836,-0.175707714,-0.982494576,0.150279478,1.016703063,-0.575991988,-0.495525765,-0.402110344,-0.151734105,-0.122018404,0.863481007,-0.486065504,-0.072782151,-0.334141547,-0.349436081,-0.081358322,0.29122909,-0.068847716,0.751059561,0.004880436,1.299975033,0.414967893,-0.177228211,-0.039049897,0.008197284,0.124761351,0.042201226,-0.075047213,0.320698208,-0.004880436,-0.220331432,0.348057005,0.197696006,-0.287912081,-0.163176576,-0.140713638,-0.015847177,-0.665322797,0.438825013,0.146142881,-0.043207296,-0.057018946,-0.269106144,0.473901939,-0.139388505,0.651955735,0.40090121,1.387714911,1.196946301,0.147263937,-0.101445256,0.774243409,-0.416677736,-0.200802981,-0.3772261,-0.268633227,-0.5390025,0.243691009,0.148104899,-0.042594099,1.009246364,0.604762417,0.139733119,-0.691116017,-0.045161563,-0.116917735,0.358535972,0.155631519,0.119933694,-0.50657797,0.105625089,-0.572660562,-0.032414361,-0.450302179,0.559450389,0.242010839,0.120958804,0.795588123,0.631111731,-0.308458279,0.051792521,0.556854274,0.179775342,1.050682031,-0.27306134,-0.555329532,0.082706771,0.062532233
A12L,Her2,-0.043444116,0.38455441,0.340147689,-0.176233784,0.298606378,-0.336488463,0.415023601,2.073036453,1.82543036,-0.099664498,0.389494922,0.043526529,1.348247478,-0.28162109,0.757451321,0.075000028,-0.131346216,-0.055075159,-0.14929696,0.150872846,0.281158474,-0.039204098,-0.096856809,-1.523545931,0.031522832,-0.171344577,-0.002780693,-0.31626668,0.164391021,-0.028719129,0.015611166,0.464135177,0.211677384,0.585638779,-1.591845958,0.198055032,-0.098691767,0.624927595,0.101746172,0.340527492,-0.886460225,1.00121242,0.611965646,0.479871087,-0.576485652,0.114035841,0.243151926,0.523119674,0.331282827,-0.15213256,-3.203171679,-0.430500979,0.106590508,0.02955873,-0.613580675,0.958675421,-0.994097587,0.42788759,-0.72022067,1.191424819,0.492839021,-0.301753278,-0.255404567,0.763629274,-0.693991179,-0.022363152,-0.228139451,-0.459568866,-0.488207755,-0.104049851,0.324336421,-0.182754254,0.106048251,-0.573546101,0.549980172,-0.250731749,-0.055955023,-0.179635614,0.048468684,-0.061695196,0.334011866,0.207978962,0.527252524,-0.183743716,0.617006765,-0.248487464,-0.0402905,-0.079195898,0.579107293,0.045406999,-0.249924435,-1.14318055,-0.094041269,0.267262709,0.15065917,-0.122358978,0.220236161,-0.19108201,-0.138387549,0.545411466,-0.001153848,0.503695563,0.221864311,0.226129005,0.065791849,-0.073010915,0.090446078,-0.080301713,-0.255974291,-0.062930971,0.056306774,-0.151988053,-0.834181481,-0.249046106,0.639913443,0.432256457,0.000283585,-1.438046418,-0.318256925,0.119270652,0.076174811,-0.084514217,0.280599951,-0.135588484,0.267158951,-0.612336064,-0.000283585,-0.272024642,0.470013025,0.203513093,0.110276022,0.095705372,-0.183553654,-0.100263233,-0.016075037,0.508638207,-0.438245328,-0.69502546,0.834034483,0.570322768,-0.406855155,-0.244549924
A0I9,Her2,-0.135194442,-0.3334904,0.320491036,0.346373865,0.060460287,-1.247331949,0.057775849,2.208047396,2.686438985,-0.127491896,-0.084631894,-0.016031117,-0.535514432,-0.25705379,-0.221712764,-0.174927327,-0.353029166,0.584903741,0.003489077,0.344299241,-0.303041455,-0.390691476,-0.202343684,-0.341618086,-0.020919527,-0.078473263,0.183629568,-0.405143264,-0.158666152,0.153209188,-0.114697969,-0.144845617,0.011673974,0.186036251,0.239940882,0.052750515,-0.147813121,-0.553689074,0.058706024,-0.547313623,-1.118596315,0.147631372,0.914840118,-0.103117678,-0.155070107,-0.117524998,0.024382142,-0.092339906,4.52013821,-0.172578582,0.423564046,-0.458025493,0.333549041,0.148869079,0.021237817,-0.467348848,1.247206128,-0.004109438,0.447229554,3.597738755,3.315877163,-0.253881872,0.788086649,1.741905305,-0.035613423,0.803909369,0.001611331,-0.002475531,0.081551066,0.01699163,-0.214205038,-0.001220886,-0.205940298,2.126459918,-0.196961887,0.679978885,-0.237465169,0.023827288,0.193029199,0.195723757,0.033845147,0.001220886,-0.021105331,0.331117886,-0.50493701,-0.162320888,0.00393939,-0.255416251,0.01477387,0.380290258,-0.00412523,-1.024936534,0.191985899,-0.318971016,-0.019068119,0.187099044,-0.156298404,-0.91141415,0.051537251,0.65258924,-0.318617693,0.225410427,-0.003702492,0.240719848,-0.023995675,-0.034236711,1.027017951,-0.114267605,-0.045032518,-0.301699564,-0.103301503,0.556257841,-0.037792074,0.110248517,0.435965802,0.079233848,-0.064036788,0.080729498,0.567922615,-0.371603106,0.165457445,-0.078095936,0.318804611,-0.272271527,0.122636863,-0.655919753,-0.029596349,0.100775176,0.031850868,-0.123972156,-0.169445114,0.376912423,0.204850095,-0.167774483,-0.101195436,0.08696614,-0.171719917,0.067347949,0.14151279,0.085666502,0.271284359,0.097399468
A0EE,Her2,0.208553569,0.050424125,0.554975886,-0.006143895,0.163492551,-0.157740833,0.513012799,-0.566151452,-0.577193722,-0.157987453,0.153019976,-0.043708803,-0.230479675,0.231125181,0.006143895,-0.456950663,0.016426449,0.424832748,0.791012789,0.300262479,-0.223780543,-0.08950544,-0.246630294,-1.182147216,0.324463267,-0.087183149,0.280156962,-0.188470841,-0.213477796,0.111814919,0.030777271,0.391758358,0.387585763,0.825951418,-1.472012426,0.575827106,0.194851471,-0.186540972,0.28193965,1.61299141,-0.861362683,1.60480848,-0.249689761,0.237330603,0.483198053,-0.211080838,0.154378451,0.263973338,1.2694659,0.138078941,-2.854648798,-0.431546112,-0.595491493,0.148302111,0.296379015,-0.149408676,-1.56718928,0.168051145,-0.072309724,2.052051483,1.349042369,-0.377450551,0.124256101,1.53358006,-0.472926816,-0.743163175,-0.109760079,0.299977671,-0.130481367,0.12266923,-0.64838547,-0.04770899,-0.05265678,-1.125063387,0.849201389,-0.191431125,0.352903365,0.133495692,0.203278606,0.848572087,0.243860247,0.215587152,0.121926942,-0.353301691,0.336303441,-0.536100953,-0.091382758,-0.505058215,-0.278366718,-0.632643328,-0.054586846,-0.933699448,0.122182787,0.910586826,0.385344818,-0.382199647,-0.199918013,0.060781495,-0.219183644,-0.116846586,0.040772043,-0.187088276,-0.189678512,0.240364907,0.33474843,-1.781510727,0.058778252,0.251639941,-0.301105233,0.153333432,-0.564743544,0.555760201,0.517412275,0.329666771,-0.376581346,-0.076204424,-0.279714773,-0.175842311,-0.20792357,0.014891899,-0.033519763,-0.350057356,0.489324363,0.038616295,0.298234684,-0.240921396,0.16459022,-0.233419595,-0.143464106,-0.45349612,0.356070204,-0.988454642,-0.124634232,-0.343152387,0.012278752,-0.118871764,0.054943186,0.111803471,0.071671523,-0.727549985,-0.165394792,-0.056833421
